2024-12-05 00:03:23 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Thread started for Vendor ID: ABCD123 with ticket batch size: 10 (Thread ID: 60)
2024-12-05 00:03:23 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: poko for Vendor: ABCD123
2024-12-05 00:03:23 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 31 of event: poko to the pool. Ticket number in the batch: 1
2024-12-05 00:03:25 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: poko for Vendor: ABCD123
2024-12-05 00:03:25 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 32 of event: poko to the pool. Ticket number in the batch: 2
2024-12-05 00:03:27 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: poko for Vendor: ABCD123
2024-12-05 00:03:27 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 33 of event: poko to the pool. Ticket number in the batch: 3
2024-12-05 00:03:29 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: poko for Vendor: ABCD123
2024-12-05 00:03:29 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 34 of event: poko to the pool. Ticket number in the batch: 4
2024-12-05 00:03:31 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: poko for Vendor: ABCD123
2024-12-05 00:03:31 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 35 of event: poko to the pool. Ticket number in the batch: 5
2024-12-05 00:03:33 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: poko for Vendor: ABCD123
2024-12-05 00:03:33 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 36 of event: poko to the pool. Ticket number in the batch: 6
2024-12-05 00:03:35 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: poko for Vendor: ABCD123
2024-12-05 00:03:35 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 37 of event: poko to the pool. Ticket number in the batch: 7
2024-12-05 00:03:37 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: poko for Vendor: ABCD123
2024-12-05 00:03:37 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 38 of event: poko to the pool. Ticket number in the batch: 8
2024-12-05 00:03:39 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: poko for Vendor: ABCD123
2024-12-05 00:03:39 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 39 of event: poko to the pool. Ticket number in the batch: 9
2024-12-05 00:03:41 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: poko for Vendor: ABCD123
